 题号                   题目名称                          通过率                提交通过数                总提交         
1001             A + B Problem                             39.37%            76003                         193046            
1002                Fire Net                               32.27%            14926                         46252             
1003            Crashing Balloon                           25.12%             8481                         33767             
1004           Anagrams by Stack                           40.55%             6414                         15816             
1005                  Jugs                                 40.32%             7182                         17813             
1006             Do the Untwist                            44.00%             6174                         14033             
1007    Numerical Summation of a Series                    43.19%             3654                          8460             
1008             Gnome Tetravex                            21.86%             4606                         21072             
1009                 Enigma                                22.70%             2085                          9185             
1010                  Area                                 23.51%             2600                         11059             
1011                  NTA                                  22.84%             1042                          4562             
1012               Mainframe                               21.77%             742                           3409             
1013            Great Equipment                            28.91%             1724                          5964             
1014                Operand                                21.69%             604                           2785             
1015              Fishing Net                              26.55%             1437                          5413             
1016              Parencodings                             39.94%             4771                         11946             
1017          The Bermuda Triagle                          31.28%             183                           585              
1018             Deformed Wheel                            21.60%              89                           412              
1019             Illusive Chase                            40.44%             719                           1778             
1020               Puzzle Out                               8.70%             139                           1597             
1021       The Willy Memorial Program                      18.54%             282                           1521             
1022         Parallel Expectations                         14.89%             126                           846              
1023     University Entrace Examination                    22.10%             185                           837              
1024             Calendar Game                             39.65%             1548                          3904             
1025             Wooden Sticks                             33.91%             4518                         13325             
1026 Modular multiplication of polynomials                 36.54%             942                           2578             
1027          Human Gene Functions                         48.51%             2824                          5821             
1028             Flip and Shift                            41.36%             2052                          4961             
1029             Moving Tables                             30.82%             2580                          8370             
1030                Farmland                               39.65%             316                           797              
1031            Square Destroyer                           43.40%             401                           924              
1032                 Area 2                                42.00%             709                           1688             
1033            Ambiguous Dates                            25.71%              99                           385              
1034               Cog-Wheels                               8.24%             102                           1238             
1035                  Cube                                 18.05%              61                           338              
1036                Enigma 2                               54.72%             174                           318              
1037                Gridland                               29.83%             8514                         28538             
1038                   T9                                  28.40%             748                           2634             
1039              Number Game                              30.56%             660                           2160             
1040               Signal Box                              24.80%              31                           125              
1041              Transmitters                             49.73%             1732                          3483             
1042               W's Cipher                              41.92%             1113                          2655             
1043             Split Windows                             52.16%             157                           301              
1044            Index Generation                           23.11%              61                           264              
1045                HangOver                               52.61%            11121                         21137             
1046             Double Vision                             34.16%              96                           281              
1047            Image Perimeters                           55.37%             1989                          3592             
1048          Financial Management                         44.28%            15666                         35379             
1049       I Think I Need a Houseboat                      39.21%             9685                         24703             
1050          Start Up the Startup                         20.21%             393                           1945             
1051         A New Growth Industry                         30.26%             2978                          9841             
1052      Algernon's Noxious Emissions                     34.91%             111                           318              
1053          FDNY to the Rescue!                          20.65%             499                           2416             
1054            For the Porsche                            31.26%             131                           419              
1055         Oh, Those Achin' Feet                         31.54%             188                           596              
1056             The Worm Turns                            43.52%             2111                          4851             
1057                Undercut                               22.72%             4604                         20266             
1058           Currency Exchange                           33.20%             1845                          5557             
1059            What's In a Name                           15.79%             190                           1203             
1060           Sorting It All Out                          29.21%             1774                          6073             
1061             Web Navigation                            28.07%             2591                          9229             
1062          Trees Made to Order                          56.88%             1037                          1823             
1063        Space Station Shielding                        29.27%             579                           1978             
1064             Roads Scholar                             30.73%             114                           371              
1065                 Robots                                16.00%              36                           225              
1066               Square Ice                              37.31%             469                           1257             
1067             Color Me Less                             43.66%             6557                         15017             
1068               P,MTHBGWB                               54.31%             1625                          2992             
1069             Plato's Blocks                            37.68%             107                           284              
1070               Bode Plot                               71.17%             1580                          2220             
1071            Follow My Logic                            16.31%              92                           564              
1072       Microprocessor Simulation                       37.31%             397                           1064             
1073         Round and Round We Go                         45.79%             2260                          4936             
1074               To the Max                              48.37%             4730                          9779             
1075                 Set Me                                23.43%             205                           875              
1076             Gene Assembly                             40.49%             2798                          6910             
1077          Genetic Combinations                         27.05%              89                           329              
1078           Palindrom Numbers                           42.06%             5540                         13172             
1079             Robotic Jigsaw                            39.84%             100                           251              
1080           Direct Subtraction                          29.09%              80                           275              
1081             Points Within                             29.56%             1748                          5914             
1082         Stockbroker Grapevine                         51.95%             2068                          3981             
1083             Frame Stacking                            39.82%             657                           1650             
1084           Channel Allocation                          43.62%             1083                          2483             
1085             Alien Security                            27.34%             703                           2571             
1086            Octal Fractions                            47.17%             1785                          3784             
1087           Cracking the Code                           17.88%             152                           850              
1088            System Overload                            58.37%             4490                          7692             
1089                 Lotto                                 40.88%             4120                         10078             
1090    The Circumference of the Circle                    54.23%             3445                          6353             
1091              Knight Moves                             43.18%             5585                         12935             
1092               Arbitrage                               39.21%             1610                          4106             
1093           Monkey and Banana                           46.64%             2884                          6184             
1094      Matrix Chain Multiplication                      52.79%             2552                          4834             
1095             Humble Numbers                            37.79%             3249                          8598             
1096                 Subway                                27.11%             225                           830              
1097             Code the Tree                             30.89%             959                           3105             
1098            Simple Computers                           28.07%             776                           2765             
1099                  HTML                                 25.48%             3076                         12072             
1100           Mondriaan's Dream                           41.02%             1563                          3810             
 题号                   题目名称                          通过率                提交通过数                总提交         
1001             A + B Problem                             39.37%            76003                         193046            
1002                Fire Net                               32.27%            14926                         46252             
1003            Crashing Balloon                           25.12%             8481                         33767             
1004           Anagrams by Stack                           40.55%             6414                         15816             
1005                  Jugs                                 40.32%             7182                         17813             
1006             Do the Untwist                            44.00%             6174                         14033             
1007    Numerical Summation of a Series                    43.19%             3654                          8460             
1008             Gnome Tetravex                            21.86%             4606                         21072             
1009                 Enigma                                22.70%             2085                          9185             
1010                  Area                                 23.51%             2600                         11059             
1011                  NTA                                  22.84%             1042                          4562             
1012               Mainframe                               21.77%             742                           3409             
1013            Great Equipment                            28.91%             1724                          5964             
1014                Operand                                21.69%             604                           2785             
1015              Fishing Net                              26.55%             1437                          5413             
1016              Parencodings                             39.94%             4771                         11946             
1017          The Bermuda Triagle                          31.28%             183                           585              
1018             Deformed Wheel                            21.60%              89                           412              
1019             Illusive Chase                            40.44%             719                           1778             
1020               Puzzle Out                               8.70%             139                           1597             
1021       The Willy Memorial Program                      18.54%             282                           1521             
1022         Parallel Expectations                         14.89%             126                           846              
1023     University Entrace Examination                    22.10%             185                           837              
1024             Calendar Game                             39.65%             1548                          3904             
1025             Wooden Sticks                             33.91%             4518                         13325             
1026 Modular multiplication of polynomials                 36.54%             942                           2578             
1027          Human Gene Functions                         48.51%             2824                          5821             
1028             Flip and Shift                            41.36%             2052                          4961             
1029             Moving Tables                             30.82%             2580                          8370             
1030                Farmland                               39.65%             316                           797              
1031            Square Destroyer                           43.40%             401                           924              
1032                 Area 2                                42.00%             709                           1688             
1033            Ambiguous Dates                            25.71%              99                           385              
1034               Cog-Wheels                               8.24%             102                           1238             
1035                  Cube                                 18.05%              61                           338              
1036                Enigma 2                               54.72%             174                           318              
1037                Gridland                               29.83%             8514                         28538             
1038                   T9                                  28.40%             748                           2634             
1039              Number Game                              30.56%             660                           2160             
1040               Signal Box                              24.80%              31                           125              
1041              Transmitters                             49.73%             1732                          3483             
1042               W's Cipher                              41.92%             1113                          2655             
1043             Split Windows                             52.16%             157                           301              
1044            Index Generation                           23.11%              61                           264              
